Month,DATE,MILLER NAME,AREA,BRAND,BUYER NAME,NO OF DAYS,NO OF DAY REC,BILL NO,QTLS,Rate,Amount,L.H.,C.C,,TDS,Shortage,SELLER,Diff. in,Net Amt.,chq am,Ch/DD No.,CHQ DT,bank,PLACE,   BUYER NAME,? , ,BUYER NAME 
APRIL-2026,2026-04-03,RIDDHE SIDDHE RICE INDUSTRIES PVT LTD,6TH,K.K,RAGHURAM ENTERPRISES,"=IF(U31>0,""Cleared"", (TODAY()-A31&""  DAYS PENDING""))","=IF(U31>0,W31-A31 & "" days"", ""PAYMENT NOT RECD"")",3864,330,7271,=J31*K31,=300*330,=L31*4%,,,,,=T31-U31,=J31*K31-M31-N31-Q31+O31+P31,=304020+470000+460000+490000+480000,263964/962/961/960/963,2026-04-20,,,,,,
APRIL-2026,2026-04-03,RIDDHE SIDDHE RICE INDUSTRIES PVT LTD,4TH,K.MADHURAM,PRINCE TRADING CO,"=IF(U32>0,""Cleared"", (TODAY()-A32&""  DAYS PENDING""))","=IF(U32>0,W32-A32 & "" days"", ""PAYMENT NOT RECD"")",3865,26,10400,=J32*K32,=300*26,=L32*4%,,,,,=T32-U32,=J32*K32-M32-N32-Q32+O32+P32,251750,967,2026-04-15,,,,,,
APRIL-2026,2026-04-03,THIRUMALA INDUSTRIES,GADCHIROLLI,KOLAM RAW,ANNAPURNA RICE & AGRO INDUSTRIES,"=IF(U33>0,""Cleared"", (TODAY()-A33&""  DAYS PENDING""))","=IF(U33>0,W33-A33 & "" days"", ""PAYMENT NOT RECD"")",1237,260.1,=6620+230,=J33*K33,=230*260.1,=L33*4%,,,,,=T33-U33,=J33*K33-M33-N33-Q33+O33+P33,1650594,RTGS,2026-04-23,,,,,,
APRIL-2026,2026-04-03,ANNAPURNA RICE & AGRO INDUSTRIES,HOSUR,K.K,KRR & CO,"=IF(U34>0,""Cleared"", (TODAY()-A34&""  DAYS PENDING""))","=IF(U34>0,W34-A34 & "" days"", ""PAYMENT NOT RECD"")",1390,75,7271,=J34*K34,=230*75,=L34*4%,,,,,=T34-U34,=J34*K34-M34-N34-Q34+O34+P34,=500000+173430,rtgs,2026-04-21,,,,,,
APRIL-2026,2026-04-03,ANNAPURNA RICE & AGRO INDUSTRIES,HOSUR,K.K,KRR & CO,"=IF(U35>0,""Cleared"", (TODAY()-A35&""  DAYS PENDING""))","=IF(U35>0,W35-A35 & "" days"", ""PAYMENT NOT RECD"")",1390,24,7500,=J35*K35,=230*24,=L35*4%,,,,,=T35-U35,=J35*K35-M35-N35-Q35+O35+P35,167168,rtgs,2026-04-21,,,,,,
APRIL-2026,2026-04-03,ANNAPURNA RICE & AGRO INDUSTRIES,HOSUR,K.K,JKV TRADING CO,"=IF(U36>0,""Cleared"", (TODAY()-A36&""  DAYS PENDING""))","=IF(U36>0,W36-A36 & "" days"", ""PAYMENT NOT RECD"")",1391,90,7500,=J36*K36,=230*90,=L36*4%,,,,,=T36-U36,=J36*K36-M36-N36-Q36+O36+P36,627300,RTGS,2026-04-24,,,,,,
APRIL-2026,2026-04-03,ANNAPURNA RICE & AGRO INDUSTRIES,HOSUR,K.K,SRI RAMA TRADERS,"=IF(U37>0,""Cleared"", (TODAY()-A37&""  DAYS PENDING""))","=IF(U37>0,W37-A37 & "" days"", ""PAYMENT NOT RECD"")",1392,36,7500,=J37*K37,=230*36,=L37*4%,,,,,=T37-U37,=J37*K37-M37-N37-Q37+O37+P37,253870,RTGS,2026-04-27,,,,,,
APRIL-2026,2026-04-03,ANNAPURNA RICE & AGRO INDUSTRIES,HOSUR,K.K,TPL ENTERPRISES,"=IF(U38>0,""Cleared"", (TODAY()-A38&""  DAYS PENDING""))","=IF(U38>0,W38-A38 & "" days"", ""PAYMENT NOT RECD"")",1393,36,7500,=J38*K38,=230*36,=L38*4%,,,,,=T38-U38,=J38*K38-M38-N38-Q38+O38+P38,250920,RTGS,2026-04-17,,,,,,
APRIL-2026,2026-04-04,THIRUMALA INDUSTRIES,GADCHIROLLI,KOLAM RAW,RIDDHE SIDDHE RICE INDUSTRIES PVT LTD,"=IF(U39>0,""Cleared"", (TODAY()-A39&""  DAYS PENDING""))","=IF(U39>0,W39-A39 & "" days"", ""PAYMENT NOT RECD"")",1236,350.1,=6850,=J39*K39,=210*350.1,=L39*4%,,,=J39*50,,=T39-U39,=J39*K39-M39-N39-Q39+O39+P39,2211032,rtgs,2026-04-21,,,,,,
APRIL-2026,2026-04-04,RIDDHE SIDDHE RICE INDUSTRIES PVT LTD,NELMANGALA,K.K,SUNRISE FAMILY MART,"=IF(U40>0,""Cleared"", (TODAY()-A40&""  DAYS PENDING""))","=IF(U40>0,W40-A40 & "" days"", ""PAYMENT NOT RECD"")",3857,150,7500,=J40*K40,=210*150,=L40*4%,,,,,=T40-U40,=J40*K40-M40-N40-Q40+O40+P40,1049850,ADV PAY,,,,,,,
